번호,모델코드,모델명,규격,단위,단가,작성자,작성일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32 ,PA-ETB2062,ETB-2062,ETB-2062,EA,,이진형,06월 05일,CASE-ETB2062,1,BOX-ETB2062,1,HAND-삼형 2H,2,PADCOM-06,2,PCB-LTB713-01,3,PCB-LTB713-01,3,CONN-CHD1140-03,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33 ,PA-ETB2123,ETB-2123,ETB-2123,EA,,이진형,06월 05일,CASE-ETB2123,1,BOX-ETB2123,1,HAND-삼형 3H,2,PADCOM-06,2,PCB-LTB713-01,6,PCB-LTB713-01,6,CONN-CHD1140-03,6,SCR-BHTS-B4*8(질착),8,SCR-BHTS-B3*8(NI),8,SCR-BHMS4*8(천연),4,SCR-BHMS3*35(천연),1,WASHER-3(평),1,SCR-RACK,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34 ,PA-LAB743,LAB-743,LAB-743,EA,,이진형,06월 05일,BOX-LAB743,1,CASE-LAB743,1,FAN-DFB122524H(A),2,PAD-AUTO BLOWER,1,PCB-LAB743,1,TER-TB305B,1,TER-TB305R,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35 ,PA-LEK761,LEK-761,LEK-761,EA,,이진형,06월 05일,BOX-LOTTE1H,1,CASE-LEK761,1,CONN-LEK761-02,2,CONN-LEK761-03,1,CONN-LEK761-04,1,CONN-CHD1140-01,1,CONN-CHD1140-06,1,FR-LEK761,1,HAND-LOT1H(착색),2,KNOB-LPK761,1,LED-5*2/R,1,PADCOM-01,1,PADCOM-02,1,PCB-LEK761-01,1,PCB-LEK761-02,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36 ,PA-LEP762V,LEP-762V,LEP-762V,EA,,이진형,06월 05일,ACR-LEP762-E,1,BOX-LOTTE2H,1,CAP-LSP120-01,1,CASE-LEP762V,1,CONN-EEP2162V-03,1,CONN-EEP2162V-05,1,CONN-CHD1140-05,1,FR-LEP762V,1,HAND-LOTTE 2H,2,KNOB-GRAY-SMALL,1,KNOB-SH-1U(흑색),2,KNOB-SH-1U(백색),1,MET-마농4P,1,MIC-DMA500,1,PADCOM-02,2,PCB-EEP2162V-01,1,PCB-EEP2162V-02,1,PCB-EEP2162V-03,1,PCB-EEP2162V-04,1,PCB-EEP2162V-05,1,SP-MICRO SPEAKER,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37 ,PA-LML761,LML-761,LML-761,EA,,이진형,06월 05일,ACR-LML761,1,BOX-LOTTE1H,1,CASE-LML761,1,CONN-LML761-01,1,CONN-CHD1140-06,2,CONN-CHD1140-04,1,CONN-LML761-05,1,CONN-LML761-06,1,FR-LML761,1,HAND-LOT1H(착색),2,PADCOM-01,1,PADCOM-02,1,PCB-LML761-01,1,PCB-LML761-02,1,SWI-BSD-108,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38 ,PA-LPB762,LPB-762,LPB-762,EA,,이진형,06월 05일,ACR-LPB762FND,1,ACR-LPB762LED,1,BOX-LOTTE2H-1,1,CASE-LPB762,1,CONC-472,1,CONN-LPB762-01,1,CONN-LPB762-02,1,CONN-LPB762-03,1,CONN-LPB762-04,1,CONN-LPB762-05,1,CONN-LPB762-07,1,CONN-LPB762-08,1,CORD-250/7A,1,FR-LPB762,1,FUSE FH-01A,2,H/S-EPA3173-06,1,HAND-LOTTE 2H,2,IC-NJM7805FA,1,PADCOM-02,2,PCB-LPB762-01,1,PCB-LPB762-02,1,PCB-LPB762-03,1,PCB-LPB762-04,1,PCB-LPB-EDM999-01,1,PCB-LPB-EDM999-02,1,SWI-POWER,1,TR-2SC4467,1,TRANS-EPB2032,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39 ,PA-LPK761,LPK-761,LPK-761,EA,,이진형,06월 05일,BOX-LOTTE1H,1,CASE-LPK761,1,CONN-LML761-11,1,CONN-LPK761-02,1,CONN-LPK761-03,1,FR-LPK761,1,HAND-LOT1H(착색),2,KNOB-LPK761,1,LED-5*2/R,1,PADCOM-01,1,PADCOM-02,1,PCB-LPK761-01,1,PCB-LPK761-02,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40 ,PA-LPK761D,LPK-761D,LPK-761D,EA,,이진형,06월 05일,BOX-LOTTE1H,1,CASE-LPK761D,1,CONN-LML761-09,1,CONN-LML761-10,1,CONN-LPK761D-02,1,CONN-LPK761D-03,1,CONN-LPK761D-04,2,FR-LPK761D,1,HAND-LOT1H(착색),2,KNOB-LPK761,1,LED-5*2/R,1,PADCOM-01,1,PADCOM-02,1,PCB-LPK761D-1,1,PCB-LPK761D-2,1,PCB-LPK761D-3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41 ,PA-LPM782,LPM-782,LPM-782,EA,,이진형,06월 05일,BOX-LOTTE2H,1,CAP-IVORY-SMALL,1,CASE-LPM782A,1,FR-LPM782A,1,HAND-LOTTE 2H,2,KNOB-BLACK-SMALL,1,KNOB-LPM782A,1,PADCOM-02,2,PCB-EPM2082B-01,1,PCB-EPM2082B-02,1,PCB-EPM2082B-03,1,SP-MSF2D30,1,SUP-HEXA-5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
